text,category,source,clean_text,predicted_category
"Life-extending prostate cancer drug to be offered to thousands in England. Abiraterone will be available in a matter of weeks and will be offered to 7,000 men a year.",Health,BBC News,life extending prostate cancer drug to be offered to thousands in england abiraterone will be available in a matter of weeks and will be offered to men a year,Health
"Hospital violated trans complaint nurses' dignity, tribunal rules. A judge says the hospital chiefs' changing room policy created a ""hostile"" environment for women.",Health,BBC News,hospital violated trans complaint nurses dignity tribunal rules a judge says the hospital chiefs changing room policy created a hostile environment for women,Health
Hospitals with unsafe concrete expected to miss rebuild deadline. Seven hospitals with Raac that were prioritised last year are not expected to be completed on time - some not until 2032/33.,Health,BBC News,hospitals with unsafe concrete expected to miss rebuild deadline seven hospitals with raac that were prioritised last year are not expected to be completed on time some not until,Health
"I didn't give up, I let go. How I came to terms with not having children. After a decade of trying for a baby, Caroline and her husband decided they needed to build a different future.",Health,BBC News,i didn t give up i let go how i came to terms with not having children after a decade of trying for a baby caroline and her husband decided they needed to build a different future,Health
"Letby trust pays £1.4m damages to ex CEO. Dr Susan Gilby told the BBC she was relieved the case was over and that it ""was never about the money.""",Health,BBC News,letby trust pays m damages to ex ceo dr susan gilby told the bbc she was relieved the case was over and that it was never about the money,Health
Babies in Midlands and North 'more likely to die around birth'. A study found the 10 consistently worst-performing centres were all in the Midlands and North of England.,Health,BBC News,babies in midlands and north more likely to die around birth a study found the consistently worst performing centres were all in the midlands and north of england,Health
One in 10 patients spent over 12 hours in A&E in 2025. Nurses union says long waits and corridor care having a devastating impact on paitents.,Health,BBC News,one in patients spent over hours in a e in nurses union says long waits and corridor care having a devastating impact on paitents,Health
First leukaemia patient to get new form of treatment on NHS says it is 'very sci-fi'. Oscar Murphy has an aggressive form of the blood cancer and is the first to get CAR-T therapy in the UK.,Health,BBC News,first leukaemia patient to get new form of treatment on nhs says it is very sci fi oscar murphy has an aggressive form of the blood cancer and is the first to get car t therapy in the uk,Health
"Safe spaces needed for drug-addicted children, say grieving mums. More children in England are in drug and alcohol treatment, but families say many cannot get help.",Health,BBC News,safe spaces needed for drug addicted children say grieving mums more children in england are in drug and alcohol treatment but families say many cannot get help,Health
Hospital alert after fake doctor-endorsed videos. Guy's and St Thomas' NHS Trust says online videos falsely show clinicians promoting weight loss patches.,Health,BBC News,hospital alert after fake doctor endorsed videos guy s and st thomas nhs trust says online videos falsely show clinicians promoting weight loss patches,Health
"Revolutionary eye injection saved my sight, says first-ever patient. Nicki's eye had collapsed in on itself, but a new gel injection method has saved her vision.",Health,BBC News,revolutionary eye injection saved my sight says first ever patient nicki s eye had collapsed in on itself but a new gel injection method has saved her vision,Health
I spent months trying to find out if boosting my gut health could help me age better. Health editor Hugh Pym revamped his diet after a test suggested his gut health appeared to look five years older than he was,Health,BBC News,i spent months trying to find out if boosting my gut health could help me age better health editor hugh pym revamped his diet after a test suggested his gut health appeared to look five years older than he was,Health
"Why the NHS still wastes billions on patients who don't need to be in hospital. The delayed discharge challenge throws up deeper questions about the care system, co-ordination - and whether some patients are over-treated",Health,BBC News,why the nhs still wastes billions on patients who don t need to be in hospital the delayed discharge challenge throws up deeper questions about the care system co ordination and whether some patients are over treated,Health
Plastic surgeon who fled from inspectors suspended. Dr Sayed Mia tried to flee when inspectors arrived at the central London clinic where he worked.,Health,BBC News,plastic surgeon who fled from inspectors suspended dr sayed mia tried to flee when inspectors arrived at the central london clinic where he worked,Health
Eye surgeon's advice after his own sight-saving op. Dr Amir Hamid said his sight was saved by quick treatment when he had symptoms of a detached retina.,Health,BBC News,eye surgeon s advice after his own sight saving op dr amir hamid said his sight was saved by quick treatment when he had symptoms of a detached retina,Health
"People who come off slimming jabs regain weight four times faster than dieters. Overweight people shed large amounts on jabs but gain 0.8 kg a month on average once off them, study shows.",Health,BBC News,people who come off slimming jabs regain weight four times faster than dieters overweight people shed large amounts on jabs but gain kg a month on average once off them study shows,Health
"Flu on the rise again after Christmas mixing, says NHS. Cases up after two weeks of decline, as hospitals report rise in slips and falls because of cold snap.",Health,BBC News,flu on the rise again after christmas mixing says nhs cases up after two weeks of decline as hospitals report rise in slips and falls because of cold snap,Health
Doctors strike called off as union backs latest pay deal. Medics had been set to go on the first national walkout staged by NHS workers on Tuesday in a dispute over pay.,Health,BBC News,doctors strike called off as union backs latest pay deal medics had been set to go on the first national walkout staged by nhs workers on tuesday in a dispute over pay,Health
"Long waits for disability benefit claims unacceptable, MPs say. Some people are waiting more than a year to have their claims processed, the Public Accounts Committee says.",Health,BBC News,long waits for disability benefit claims unacceptable mps say some people are waiting more than a year to have their claims processed the public accounts committee says,Health
